City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Preobrazheniye,RU,2022-01-21 21:12:36,42.9019,133.9064,15.57,48,11,5.01
261,Wilmington,US,2022-01-21 21:07:37,34.2257,-77.9447,31.86,86,100,13.8
262,Port Hawkesbury,CA,2022-01-21 21:12:36,45.6169,-61.3485,21.18,80,100,8.01
263,Viru,PE,2022-01-21 21:12:36,-8.4167,-78.75,69.1,60,100,10.18
264,Sahuaripa,MX,2022-01-21 21:12:37,29.05,-109.2333,71.29,29,0,3.56
265,Concepcion De Buenos Aires,MX,2022-01-21 21:12:37,19.9667,-103.2667,62.92,29,100,10.51
266,Bonavista,CA,2022-01-21 21:12:37,48.6499,-53.1147,25.12,72,100,18.7
267,San Patricio,US,2022-01-21 21:12:38,28.017,-97.5169,53.69,35,79,9.46
268,Fort Smith,US,2022-01-21 21:10:00,35.3859,-94.3986,37.44,33,0,4.0
269,Victor Harbor,AU,2022-01-21 21:13:38,-35.5667,138.6167,79.47,48,100,13.91
270,Anqiu,CN,2022-01-21 21:13:38,36.4342,119.1925,29.21,73,94,3.11
271,Pangnirtung,CA,2022-01-21 21:13:39,66.1451,-65.7125,-28.86,91,71,5.41
272,Vila Do Maio,CV,2022-01-21 21:04:45,15.1333,-23.2167,72.39,79,100,12.8
273,Krasnoarmeysk,RU,2022-01-21 21:13:39,51.0239,45.6969,16.07,95,100,13.67
274,Kitimat,CA,2022-01-21 21:13:39,54.0524,-128.6534,42.91,64,100,1.99
275,Sao Filipe,CV,2022-01-21 21:13:40,14.8961,-24.4956,73.22,78,94,6.76
276,Chigorodo,CO,2022-01-21 21:13:40,7.6664,-76.6811,84.67,74,74,3.62
277,Red Deer,CA,2022-01-21 21:09:10,52.2668,-113.802,25.77,90,100,1.5
278,Dali,CN,2022-01-21 21:13:40,25.7,100.1833,35.46,90,15,3.02
279,Carnduff,CA,2022-01-21 21:13:41,49.1667,-101.8009,19.38,80,56,20.2
280,Thenzawl,IN,2022-01-21 21:13:41,23.3167,92.75,46.53,81,36,2.64
281,Camacha,PT,2022-01-21 21:13:41,33.0833,-16.3333,62.53,82,40,24.16
282,Praia,CV,2022-01-21 21:13:41,14.9215,-23.5087,72.14,83,75,13.8
283,Carballo,ES,2022-01-21 21:13:42,43.213,-8.691,48.0,68,0,9.4
284,Farafangana,MG,2022-01-21 21:13:42,-22.8167,47.8333,74.5,88,94,4.43
285,Puerto Leguizamo,CO,2022-01-21 21:13:42,-0.1934,-74.7819,83.25,73,66,2.15
286,Sanmenxia,CN,2022-01-21 21:13:43,34.7747,111.1814,24.96,88,72,6.71
287,Souillac,MU,2022-01-21 21:13:43,-20.5167,57.5167,82.78,89,40,18.41
288,Namibe,AO,2022-01-21 21:13:43,-15.1961,12.1522,71.53,81,95,7.45
289,Denpasar,ID,2022-01-21 21:11:51,-8.65,115.2167,80.26,88,75,6.91
290,Acopiara,BR,2022-01-21 21:11:55,-6.0953,-39.4525,81.03,61,73,4.32
291,Baiyin,CN,2022-01-21 21:13:44,36.5583,104.2081,26.51,58,49,1.07
292,Georgetown,MY,2022-01-21 21:13:07,5.4112,100.3354,79.9,85,20,0.0
